Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENE0054,LABORATÓRIO DE ELETROMAGNETISMO 2,D,2021.1,PLINIO RICARDO GANIME ALVES (30h),4T23,12,13,SG-11 A1 34/15
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,47,2021.1,ALEX DA ROSA (30h),7T23,1,1,A definir
ENE0002,LABORATÓRIO DE ELETRICIDADE BÁSICA,A,2021.1,ALCIDES LEANDRO DA SILVA (30h),2T23,15,13,SG-11 AT-49/14
ENE0289,CIRCUITOS POLIFASICOS,A,2021.1,PABLO EDUARDO CUERVO FRANCO (60h),35M34,50,39,SG-11 A1 57/12
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,49,2021.1,EDSON MINTSU HUNG (30h),7T23,10,2,virtual
ENE0304,CIRCUITOS ELÉTRICOS,B,2021.1,LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES (60h),35T23,70,30,FT BT-13/15
ENE0167,CONTROLE DIGITAL,A,2021.1,HENRIQUE CEZAR FERREIRA (60h),35M12,60,26,FT BT-34/15
ENE0274,FUNDAMENTOS DE REDES,B,2021.1,FABIO LUCIO LOPES DE MENDONCA (60h),46T45,30,6,a definir
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,40,2021.1,ALCIDES LEANDRO DA SILVA (30h),7T23,1,1,A definir
ENE0078,LABORATÓRIO DE CONTROLE DE SISTEMAS DINÂMICOS,B,2021.1,MARCO ANTONIO FREITAS DO EGITO COELHO (30h),2M34,16,14,SG-11 AT -39/12
ENE0013,ALGORITMOS E ESTRUTURA DE DADOS,B,2021.1,MAX EDUARDO VIZCARRA MELGAR (60h),24T45,30,8,a definir
ENE0079,CONTROLE NO ESPAÇO DE ESTADOS,A,2021.1,JOAO YOSHIYUKI ISHIHARA (60h),24T45,50,30,SG-11 A1 57/12
ENE0342,PROJETO FINAL DE GRADUAÇÃO 1,G,2021.1,IVAN MARQUES DE TOLEDO CAMARGO (30h),2M5 2T1,1,1,Remoto
ENE0074,LABORATÓRIO DE CONVERSÃO DE ENERGIA,A,2021.1,GERSON HENRIQUE PFITSCHER (30h),2T45,10,10,SG-11 AT-47/14
ENE0343,PROJETO FINAL DE GRADUAÇÃO 2,A,2021.1,FLAVIO ELIAS GOMES DE DEUS (90h),234M5 234T,2,1,A definir
